entity;relations
window_shutter;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
cargo_container;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
hard_drug;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
security_document;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
tea_bag;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
modem;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
purse;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
passenger_aircraft;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
armored_vehicle;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
tape_measure;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
composition_explosive;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
woodworking_tool;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
cellphone;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
sleeping_bag;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
negligible_acid;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
debt_instrument;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
picric_acid;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
amphibious_vehicle;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
lewis_acid;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
revolver;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
makarov_pistol;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
chemical_bomb;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
toilet_brush;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
gun_cruiser;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
computer_programming;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
explosive_ordnance;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
fire_helmet;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
stationary_tool;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
propionic_acid;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
television_camera;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
iodic_acid;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
dental_tool;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
lube_gun;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
lowering_automobile;AtLocation, CapableOf, Causes, HasA, HasProperty, IsA, LocatedNear, MadeOf, PartOf, UsedFor
